,375 nm,,,407 nm,,,532 nm,,,635 nm,,,850 nm,,,375 nm,,,407 nm,,,532 nm,,,635 nm,,,850 nm,,
Name,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF_frac,BC_WB_frac,BrC_frac,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC,BC_FF,BC_WB,BrC
P01,0.3221011036859503,0.29208475180374305,0.38551048747185995,0.34769018936905205,0.3152892104507425,0.3376064533364566,0.4168835131293873,0.3780344620681312,0.2042524529968637,0.4510606158699416,0.40902662712782906,0.14063300761907174,0.48656592628143625,0.44122322521638324,0.07203630071665151,1.6813677612406603,1.5246824044155387,2.0123647446031088,1.5576520483733534,1.4124956628193264,1.5124769109473257,1.2131310232065171,1.1000802846182618,0.5943746382208734,1.0284182041834669,0.9325807098514501,0.3206432573714835,0.7833711413131124,0.7103693925983771,0.11597844415380895
P02,0.22121422418109943,0.33039125290736043,0.44811777668181735,0.24150591147852257,0.3606976042037922,0.3984074917799065,0.2993853876463123,0.4471426450662758,0.25231852825432255,0.32994078123616705,0.4927782040299936,0.17840722391053432,0.3630234286064043,0.5421883057294075,0.09447808938972035,0.7012490906540851,1.0473402717163325,1.420533352081361,0.6496509018772257,0.970276555308201,1.0717161528879484,0.5059613051222678,0.7556710701620061,0.42641831274980513,0.4289230156070172,0.6406116652389917,0.23192939108369462,0.32672108574576386,0.4879694751564667,0.08503028045074833
P03,0.2646648466651619,0.3114806258597158,0.4208991996558539,0.2889747551166095,0.34009064186470894,0.37442021132988496,0.35336429656802787,0.41586985819365974,0.23425289978098118,0.38158316425254435,0.4490802776285679,0.16245573151503379,0.4209575571278685,0.4954194899954012,0.08639835285169156,0.5240363963970205,0.6167316392022373,0.8333804153185906,0.485477588595904,0.571352278332711,0.6290259550342067,0.37809979732778987,0.44498074826721595,0.2506506027656499,0.32052985797213723,0.377227433207997,0.13646281447262837,0.24415538313416368,0.28734330419733267,0.050111044653981106
P04,0.26998045283445254,0.3115447976178321,0.41712091495046916,0.29385117134378635,0.33909048875548925,0.36908048817848,0.3579562194863681,0.4130647118527009,0.22838510796107175,0.3901543277454784,0.45021982073538913,0.15910981868317872,0.4258943793588296,0.49146216635646245,0.08307840394610308,1.1609159471881458,1.339642629756678,1.7936199342870174,1.0754952871182581,1.2410711888450907,1.3508345867332368,0.8376175535981013,0.96657142573532,0.5344211526289079,0.7100808764967708,0.8194000737384083,0.2895798700033853,0.5408858617857136,0.6241569512727073,0.10550957301155091
P05,0.3608730144857636,0.27346920831470806,0.36504788846004205,0.3875877889177091,0.2937136375763989,0.31950997498922795,0.45888478393382653,0.34774242886759277,0.19369233971457597,0.4923730000436748,0.3731197654370284,0.1335382289044065,0.5297132979228737,0.4014162057064982,0.0693161666813811,5.514139661342467,4.178609503048739,5.577931735669442,5.108407057935406,3.871145743256937,4.211141470358024,3.978531076706276,3.0149268582820294,1.6793125853253736,3.372755050299172,2.5558703932436444,0.9147368679951845,2.569109494925937,1.946868597676516,0.3361834084046983
P06,0.3847002209076305,0.2624340119949822,0.3522470510365009,0.4118590887749986,0.28096119307863004,0.30800260372574995,0.48374927925580447,0.33000309658065924,0.18658066270680038,0.5172984394898023,0.3528895942761845,0.12881576174518752,0.5547996324030685,0.37847208156357626,0.06718491066779912,5.3704150838705225,3.663578807449951,4.917368832469553,4.975257792401983,3.394011212389851,3.7206714530070593,3.874831726838994,2.6433248036110806,1.494511108281471,3.284845090760244,2.2408489236537714,0.8179800870819407,2.5021463421378387,1.7069090878517288,0.30300394711177403
P07,0.438864679443714,0.23520602710664526,0.324927936072716,0.46664692794280377,0.25009570175953233,0.2846027261311247,0.5380528228468864,0.2883651220137954,0.1740450572954599,0.5709967202798633,0.30602114127340196,0.12147242140020573,0.6092168170088746,0.3265048974933312,0.0649752099336498,3.8181227111603113,2.0462924358278136,2.8268730438326286,3.537183713806453,1.895725419337255,2.157288664073925,2.7548304529760586,1.4764294247106324,0.8911106933527547,2.3353765859446405,1.251626467808214,0.4968222035268414,1.7789131056659138,0.9533943006805272,0.18972761300625743
P08,0.48342078932827337,0.21581295894582428,0.29974058919019536,0.5114384269098512,0.22832083904248687,0.2618172061187976,0.5810661456086148,0.25940465738200746,0.15894825819072675,0.614372064141199,0.27427337835470966,0.11107323808889899,0.6504770964231481,0.29039170429685424,0.05943859956124542,3.615987504175485,1.6142809329147656,2.2420596071426613,3.3499216962595253,1.495501495728289,1.7149027000781243,2.608986993782681,1.1647269116452135,0.7136776792763632,2.2117394309083167,0.9873841620769548,0.39986365712003635,1.6847356797359534,0.7521145141288524,0.15394597286362563
P09,0.33581496539048034,0.28328422519101726,0.38024046019138397,0.36168741481003264,0.30510950858507124,0.333952302908694,0.4319742436255338,0.3644015351300483,0.20464403030147862,0.46460234853602383,0.3919257028164757,0.14161756340073797,0.5026390185360691,0.42401238655696954,0.07408827067819941,2.2331695198466943,1.8838400975202647,2.5285990602727035,2.0688520127133865,1.7452263891066073,1.9102071726377294,1.611263928723241,1.3592177260350802,0.7633222330245153,1.36593090469591,1.1522615662804385,0.41635563639816964,1.0404627683696628,0.8777056401729268,0.15336272030387277
